OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"CHOP SHOP, OWN OR OPERATE",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"CITIZENSHIP DOCUMENT, USING FALSE",,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"CITIZENSHIP DOCUMENT, USING FALSE",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"CITIZENSHIP OR ALIEN REGISTRATION, MAKING FALSE DOCUMENT",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,ASSAULT,"CIVIL RIGHTS, INCL. INJURY, THREAT, OR DAMAGE (HATE CRIMES)",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"CIVIL RIGHTS, INCL. INJURY, THREAT, OR DAMAGE (HATE CRIMES)",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,CIVIL SIDEWALKS,"CIVIL SIDEWALKS, BOOKING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"CIVIL SIDEWALKS, BOOKING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,CIVIL SIDEWALKS,"CIVIL SIDEWALKS, CITATION",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,CIVIL SIDEWALKS,"CIVIL SIDEWALKS, VIOLATION",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"CIVIL SIDEWALKS, VIOLATION",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,CIVIL SIDEWALKS,"CIVIL SIDEWALKS, WARNING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"CIVIL SIDEWALKS, WARNING",,,,,,,,,,,,,,,,
,26C,26C Impersonation,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,"CLONED CELLULAR PHONE, USE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,COCAINE OFFENSE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, BASE/ROCK OFFENSE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, BASE/ROCK, POSSESSION FOR SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, BASE/ROCK, SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, POSSESSION FOR SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"COCAINE, TRANSPORTATION",,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,COMMISSION OF FELONY WHILE ARMED,,,,,,,,,,,,,,,,
,520,525 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,COMMISSION OF FELONY WHILE ARMED,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,,,,,,,,,,,,,,,,
,26E,26E Wire Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"COMPUTER SYSTEM, ACCESSING, COPYING, OR DAMAGING",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"COMPUTER SYSTEM, ACCESSING, COPYING, OR DAMAGING",,,,,,,,,,,,,,,,
,510,510 Bribery,Bribery,Crimes against property,,,,,,,,,,,,,,,,,,,,BRIBERY,"CONCEAL CRIME OR WITHHOLD EVIDENCE, ACCEPTING PAYMENT TO",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"CONCEAL CRIME OR WITHHOLD EVIDENCE, ACCEPTING PAYMENT TO",,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,FAMILY OFFENSES,CONCEALMENT/REMOVAL OF CHILD WITHOUT CONSENT,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,CONSPIRACY,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,CONSPIRACY,,,,,,,,,,,,,,,,
,90G,90G Liquor Law Violations (except Driving Under the Influence and Drunkenness),Liquor Law Violations (except Driving Under the Influence and Drunkenness),Crimes against society,,,,,,,,,,,,,,,,,,,,LIQUOR LAWS,CONSUMING ALCOHOL IN PUBLIC VIEW,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"CONTRABAND, TAKING INTO A REFORMATORY",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,CONTROLLED SUBSTANCE OFFENSE,,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",,,,,,,,,,,,,,,,
,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"CONTROLLED SUBSTANCE, POSSESSION FOR SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"CONTROLLED SUBSTANCE, SALE",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"CONTROLLED SUBSTANCE, TRANSPORTATION",,,,,,,,,,,,,,,,
,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,DRUG OFFENSE,"CONTROLLED SUBSTANCE, UNDER THE INFLUENCE OF",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"COUNTERFEIT COINS OR NOTES, POSSESSING OR RECEIVING",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,COUNTERFEIT MONEY OR COINS,,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"COUNTERFEIT/FORGERY, POSS DRIVERS LIC OR ID CARD",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"COUNTERFEITING, COINS OR NOTES",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"COUNTERFEITING, PLATES OR DIES",,,,,,,,,,,,,,,,
,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,COURTESY REPORT,COURTESY REPORT,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,COURTESY REPORT,,,,,,,,,,,,,,,,
,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"CREDIT APPLICATION, FRAUDULENT",,,,,,,,,,,,,,,,
,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"CREDIT CARD, INCOMPLETE OR COUNTERFEIT",,,,,,,,,,,,,,,,
,26B,26B Credit Card/Automated Teller Machine Fraud,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"CREDIT CARD, THEFT BY USE OF",,,,,,,,,,,,,,,,
,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,"CREDIT CARD, THEFT OF",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,FRAUD,CRIMES AGAINST REVENUE & PROPERTY OF STATE,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,FRAUD,CRIMES INVOLVING RECEIPTS OR TITLES,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,CRIMES INVOLVING RECEIPTS OR TITLES,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,CRUELTY TO ANIMALS,,,,,,,,,,,,,,,,
,90B,90B Curfew/Loitering/Vagrancy Violations,Curfew/Loitering/Vagrancy Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,CURFEW VIOLATION,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DAMAGE TO FIRE ALARM APPARATUS,,,,,,,,,,,,,,,,
,290,293 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,DAMAGE TO MAIL BOX,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DAMAGE TO MAIL BOX,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DAMAGE TO PARKING METERS,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DAMAGE/DESTRUCTION OF MAIL,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DANGER OF LEADING IMMORAL LIFE,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DEATH REPORT, CAUSE UNKNOWN",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEATH REPORT, IN CUSTODY",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DEATH REPORT, NATURAL CAUSES",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEATH, ACCIDENTAL",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DEATH, ACCIDENTAL",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEATH, NON-MANSLAUGHTER AUTO ACCIDENT",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DEATH, NON-MANSLAUGHTER VEHICLE ACCIDENT",,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,DEFRAUDING AN INNKEEPER,,,,,,,,,,,,,,,,
,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DEFRAUDING GAS STATION/TAXI DRIVER,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,FRAUD,DEFRAUDING OF VEHICLE REPAIRMAN,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,DEFRAUDING OF VEHICLE REPAIRMAN,,,,,,,,,,,,,,,,
,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DEFRAUDING PROVIDERS OF FOOD, FUEL, SERVICES, OR ACCOMMODATIONS",,,,,,,,,,,,,,,,
,23H,23H All Other Larceny,Larceny/Theft Offenses,Crimes against property,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DEFRAUDING TAXI DRIVER,,,,,,,,,,,,,,,,
,290,294 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,MALICIOUS MISCHIEF,"DELIVERED MAIL, DAMAGE OR DESTRUCTION OF",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,MISCELLANEOUS INVESTIGATION,"DEMONSTRATION, VIDEO EVIDENCE, MISC INVESTIGATION",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DEMONSTRATION, VIDEO EVIDENCE, MISC. INVESTIGATION",,,,,,,,,,,,,,,,
,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,FAMILY OFFENSES,DESERTION OF CHILD,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DESTITUTE MINOR,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DESTROYING JAIL PROPERTY-$200 OR UNDER,,,,,,,,,,,,,,,,
,290,290 Destruction/Damage/Vandalism of Property (except Arson),Destruction/Damage/Vandalism of Property (except Arson),Crimes against property,,,,,,,,,,,,,,,,,,,,VANDALISM,DESTROYING JAIL PROPERTY-OVER $200,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,DESTRUCTION OF PROPERTY WITH EXPLOSIVES,,,,,,,,,,,,,,,,
,520,526 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,DESTRUCTION OF PROPERTY WITH EXPLOSIVES,,,,,,,,,,,,,,,,
,520,575 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, EXPLODING",,,,,,,,,,,,,,,,
,520,576 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, POSSESSION",,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS",,,,,,,,,,,,,,,,
,520,527 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS",,,,,,,,,,,,,,,,
,520,577 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS OFFENSE,"DESTRUCTIVE DEVICE, POSSESSION OF MATERIALS",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DISASTER AREA, ENTERING OR REMAINING IN",,,,,,,,,,,,,,,,
,90J,90J Trespass of Real Property,Trespass of Real Property,Crimes against society,,,,,,,,,,,,,,,,,,,,TRESPASS,"DISASTER AREA, ENTERING OR REMAINING IN",,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,DISCHARGE FIREARM AT AN INHABITED DWELLING,,,,,,,,,,,,,,,,
,520,528 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,DISCHARGE FIREARM AT AN INHABITED DWELLING,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPON LAWS,DISCHARGE FIREARM WITHIN CITY LIMITS,,,,,,,,,,,,,,,,
,520,529 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,WEAPONS CARRYING ETC,DISCHARGE FIREARM WITHIN CITY LIMITS,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,ASSAULT,DISCHARGING IN GROSSLY NEGLIGENT MANNER,,,,,,,,,,,,,,,,
,520,520 Weapon Law Violations,Weapon Law Violations,Crimes against society,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DISCHARGING OFFENSIVE OR INJURIOUS SUBSTANCE IN PUBLIC AREA,,,,,,,,,,,,,,,,
,40B,40B Assisting or Promoting Prostitution,Prostitution Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,PROSTITUTION,"DISORDERLY HOUSE, KEEPING",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DISPLAY & SALE OF SPRAY PAINT & MARKER PENS,,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,DISRUPTS SCHOOL ACTIVITIES,,,,,,,,,,,,,,,,
,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,BRIBERY,"DISSUADING WITNESS, VICTIM",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,"DISSUADING WITNESS, VICTIM",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER MISCELLANEOUS,DISSUADING/THREATENING OF A WITNESS,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DISTURBANCE OF NON-RELIGIOUS, NON-POLITICAL ASSEMBLY",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,DISTURBING RELIGIOUS MEETINGS,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,DISTURBING THE PEACE,,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DISTURBING THE PEACE, COMMOTION",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DISTURBING THE PEACE, FIGHTING",,,,,,,,,,,,,,,,
,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,DISORDERLY CONDUCT,"DISTURBING THE PEACE, SWEARING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DOG OR CAT, ABANDONMENT OF",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DOG OR CAT, ABANDONMENT OF",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DOG, BARKING",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DOG, BARKING",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DOG, BITE OR ATTACK",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DOG, FIGHTING;  OWNING, FIGHTING, OR ATTENDING FIGHT",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DOG, FIGHTING;  OWNING, FIGHTING, OR ATTENDING FIGHT",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,NON-CRIMINAL,"DOG, STRAY OR VICIOUS",,,,,,,,,,,,,,,,
,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DOG, STRAY OR VICIOUS",,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,SECONDARY CODES,DOMESTIC VIOLENCE,,,,,,,,,,,,,,,,
,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OFFENCES AGAINST THE FAMILY AND CHILDREN,DOMESTIC VIOLENCE (SECONDARY ONLY),,,,,,,,,,,,,,,,
,99Y,99Y Non-Reportable Crimes,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",,,,,,,,,,,,,,,,
