OFFENSE_DESCRIPTION,NIBRS_Offense_Code,NIBRS_Offense_Type,NIBRS_Offense_Category,NIBRS_Crime_Against,Primary Type,Description,CATEGORY,OFFENSEDESCRIPTION,2009,2010,2011,2012,2013,2014,2015,2016,2017,crime_code_description,2018,ofns_desc,pd_desc,Summarized Offense Description,Offense Type,incident_category,incident_description,statutdesc,nibrs_offense_code,nibrs_offense_type,nibrs_offense_category,nibrs_crime_against,offense_code,crm_cd,location_type_raw,location_type,location_category,Location Description,location_description,premise_description,premise_type,<<<<<<< HEAD,prem_typ_desc
BALLISTICS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLISTICS EVIDENCE/FOUND,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENOPROP,220,22U Other Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOLOGICAL THREATS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOTHREAT,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMB,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMB HOAX,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMB THREAT,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - COMMERICAL - ATTEMPT,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - COMMERICAL - FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - COMMERICAL - NO FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - OTHER - ATTEMPT,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - OTHER - FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - OTHER - NO FORCE,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - RESIDENTIAL - ATTEMPT,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - RESIDENTIAL - FORCE,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGLARY - RESIDENTIAL - NO FORCE,220,22A Residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURGTOOLS,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD ABANDONMENT (NO ASSAULT),90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD ABUSE,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD ENDANGERMENT,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD ENDANGERMENT (NO ASSAULT),90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINS,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMERCIAL BURGLARY,220,22B Non-residential Burglary/Breaking & Entering,Burglary/Breaking & Entering,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONFIDENCE GAMES,26A,26A False Pretenses/Swindle/Confidence Game,Fraud Offenses (except Counterfeiting/Forgery and Bad Checks),Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSPIRACY EXCEPT DRUG LAW,90Z,90Z All Other Offenses,All Other Offenses,All Other Offenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRIBUTING TO DELINQUENCY OF MINOR,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTERFEITING,250,250 Counterfeiting/Forgery,Counterfeiting/Forgery,Crimes against property,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMES AGAINST CHILDREN,90F,"90F Family Offenses, Nonviolent","Family Offenses, Nonviolent",Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMINAL HARASSMENT,13C,13C Intimidation,Assault Offenses,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTODIAL KIDNAPPING,100,100 Kidnapping/Abduction,Kidnapping/Abduction,Crimes against person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANGEROUS OR HAZARDOUS CONDITION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEATH INVESTIGATION,99Z,99Z Non-Criminal Matters,Excluded cases,Excluded cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMONSTRATIONS/RIOT,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISORDERLY,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISORDERLY CONDUCT,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISORDERLY PERSON,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTURBING THE PEACE,90C,90C Disorderly Conduct,Disorderly Conduct,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUG CHARGES,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUG VIOLATION,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - CLASS D TRAFFICKING OVER 50 GRAMS,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - CONSP TO VIOL CONTROLLED SUBSTANCE,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - GLUE INHALATION,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - OTHER,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DRUGS - POSS CLASS A - HEROIN, ETC.",35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DRUGS - POSS CLASS B - COCAINE, ETC.",35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS C,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS D,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS D - INTENT MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DRUGS - POSS CLASS D - MARIJUANA, ETC.",35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS E,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS E - INTENT TO MFR DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSS CLASS E INTENT TO MF DIST DISP,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSSESSION,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - POSSESSION OF DRUG PARAPHANALIA,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - SALE / MANUFACTURING,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - SICK ASSIST - HEROIN,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRUGS - SICK ASSIST - OTHER HARMFUL DRUG,35A,35A Drug/Narcotic Violations,Drug/Narcotic Offenses,Crimes against society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
